Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C101","10µ","C_0805_2012Metric",103.0000,-76.0000,0.0000,top
"C102","10µ","C_0805_2012Metric",103.0000,-84.0000,0.0000,top
"C103","4µ7","C_1206_3216Metric",124.5000,-83.0000,0.0000,top
"C104","4µ7","C_1206_3216Metric",141.0000,-78.7500,-90.0000,top
"C105","10µ","C_0805_2012Metric",142.5000,-83.5000,90.0000,top
"L101","4m7","L_15x15mm_H8mm",100.0000,-60.0000,-90.0000,top
"L102","4m7","L_15x15mm_H8mm",120.0000,-60.0000,-90.0000,top
"L103","4m7","L_15x15mm_H8mm",140.0000,-60.0000,-90.0000,top
"L104","4m7","L_15x15mm_H8mm",160.0000,-60.0000,-90.0000,top
"L105","4m7","L_15x15mm_H8mm",100.0000,-100.0000,-90.0000,top
"L106","4m7","L_15x15mm_H8mm",120.0000,-100.0000,-90.0000,top
"L107","4m7","L_15x15mm_H8mm",140.0000,-100.0000,-90.0000,top
"L108","4m7","L_15x15mm_H8mm",160.0000,-100.0000,-90.0000,top
"L109","4µ7","L_Changjiang_FXL0530",125.0000,-77.5000,0.0000,top
"R101","120","R_1206_3216Metric",102.5000,-80.0000,-90.0000,top
